EN	RU	DE	FR	IT	NL	PL	PT	ES	ZH-CN
Guest Bathroom	Гостевая Комната	Gäste-WC	Salle De Bains Invité	Guest Bathroom	Gastenbadkamer	Łazienka Gościnna	Banheiro De Hóspedes	Baño De Visitas	客用浴室
Guest Room	Гостевая Комната	Gästezimmer	Chambre D'Amis	Stanza Degli Ospiti	Guest Room	Pokój Gościnny	Quarto De Hóspedes	Habitación De Huéspedes	客房
Laundry Room	Прачечная	Hauswirtschaftsraum	Buanderie	Lavanderia	Wasruimte	Pralnia	Lavandaria	Cuarto De Lavado	洗衣房
Home Theater	Домашний Театр	Heimkino	Cinéma Maison	Home Theater	Thuisbioscoop	Kino Domowe	Cinema Em Casa	Cine En Casa	家庭电影院
Boiler Room	Бойлерная	Heizungsraum	Chaufferie	Locale Caldaia	Boiler Room	Kotłownia	Sala Da Caldeira	Sala De Calderas	锅炉房
Chamber	Камера	Kammer	Chambre	Camera	Kamer	Izba	Câmara	Cámara	商会
Basement, Cellar	Подвал, Погреб	Keller	Sous-Sol, Cave	Taverna, Cantina	Kelder, Kelder	Piwnica, Piwnica	Porão, Adega	Sótano, Bodega	地下室，地窖
Nursery	Питомник	Kinderzimmer	Garderie	Asilo	Kinderkamer	Żłobek	Berçário	Guardería	苗圃
Corridor	Коридор	Korridor	Couloir	Corridoio	Gang	Korytarz	Corredor	Corredor	走廊
Kitchen	Кухня	Küche	Cuisine	Cucina	Keuken	Kuchnia	Cozinha	Cocina	厨房
Upstairs	Вверх По Лестнице	Obergeschoss	En Haut	Di Sopra	Boven	Na Górę	Andar De Cima	Piso Superior	楼上
Office	Офис	Office	Bureau	Ufficio	Kantoor	Gabinet	Escritório	Oficina	办公室
Pool	Бассейн	Pool	Piscine	Piscina	Zwembad	Basen	Piscina	Piscina	水池
Rear Wall	Задняя Стенка	Rückwand	Paroi Arrière	Parete Posteriore	Achterwand	Tylna Ściana	Parede Traseira	Pared Posterior	后墙
Barn	Амбар	Scheune	Grange	Fienile	Schuur	Stodoła	Celeiro	Granero	谷仓
Sleeping Area	Спальное Место	Schlafbereich	Coin Montagne	Area Sleeping	Sleeping Area	Powierzchnia Spania	Sleeping Area	Área De Dormir	睡眠区
Bedroom	Спальная Комната	Schlafzimmer	Chambre	Camera Da Letto	Slaapkamer	Sypialnia	Quarto	Cuarto	卧室
Shed	Сбрасывать	Schuppen	Hangar	Capannone	Schuur	Budka	Cabana	Cobertizo	棚
Swimming Pool	Плавательный Бассейн	Schwimmbad	Piscine	Piscina	Zwembad	Basen	Piscina	Piscina	游泳池
Dining	Обеденный	Speis	À Manger	Cenare	Dining	Jadalnia	Jantar	Comida	用餐
Playroom	Игровая Комната	Spielzimmer	Salle De Jeux	Stanza Dei Giochi	Speelkamer	Pokój Zabaw	Sala De Jogos	Cuarto De Jugar	游戏室
Stairway	Лестница	Stiege	Escalier	Scala	Trap	Klatka Schodowa	Escada	Escalera	楼梯
Equipment Room	Оборудование Номера	Technikraum	Salle D'Équipement	Stanza Degli Attrezzi	Technische Ruimte	Wyposażenie Pokoi	Sala De Equipamentos	Cuarto De Equipos	机房
Terrace	Терраса	Terrasse	Terrasse	Terrazza	Terras	Taras	Terraço	Terraza	阳台
Toilet	Туалет	Toilette	Toilette	Gabinetto	Toilet	Toaleta	Banheiro	Inodoro	洗手间
Stairway	Лестница	Treppe	Escalier	Scala	Trap	Klatka Schodowa	Escada	Escalera	楼梯
Stairwell	Лестничная Клетка	Treppenhaus	Cage D'Escalier	Tromba Delle Scale	Trappenhuis	Klatka Schodowa	Caixa De Escada	Hueco De Escalera	楼梯间
Locker Room	Камера Хранения	Umkleideraum	Vestiaire	Spogliatoio	Kleedkamer	Szatnia	Vestiário	Vestuario	更衣室
Basement	Подвал	Untergeschoss	Sous-Sol	Seminterrato	Kelder	Piwnica	Porão	Sótano	地下室
Front Yard	Передний Двор	Vorgarten	Front Yard	Cortile	Voortuin	Podwórko	Jardim Da Frente	Patio Delantero	前院
Anteroom	Передняя	Vorraum	Antichambre	Anticamera	Voorkamer	Przedpokój	Ante-Sala	Antesala	接待室
Washroom	Уборная	Waschraum	Toilettes	Bagno	Waskamer	Umywalnia	Banheiro	Baño	卫生间
Wc	Туалет	WC	Toilettes	Bagno	Wc	Toaleta	Banheiro	Wc	厕所
Workshop	Цех	Werkstätte	Atelier	Laboratorio	Werkplaats	Warsztat	Oficina	Taller	作坊
Windscreen	Ветровое Стекло	Windfang	Pare-Brise	Parabrezza	Voorruit	Szyba Przednia	Pára-Brisas	Parabrisas	风档
Living Area	Жилая Площадь	Wohnbereich	Salon	Zona Giorno	Living Area	Powierzchnia Mieszkalna	Sala-De-Estar	Sala De Estar	生活区域
Living Room	Гостинная	Wohnraum	Le Salon	Soggiorno	Woonkamer	Salon	Sala De Estar	Sala De Estar	客厅
Living Room	Гостинная	Wohnzimmer	Le Salon	Soggiorno	Woonkamer	Salon	Sala De Estar	Sala De Estar	客厅
