EN	RU	DE	FR	IT	NL	PL	PT	ES	ZH-CN
Led Strip	Светодиодная Полоса	LED Leiste	Led Strip	Led Strip	Loden Strip	Pasek Ledowy	Led Faixa	Tira Llevada	灯带
Light	Свет	Licht	Lumière	Leggero	Licht	Lekki	Luz	Luz	光
Fan	Поклонник	Lüfter	Ventilateur	Fan	Ventilator	Wentylator	Ventilador	Ventilador	扇子
Humidity	Влажность	Luftfeuchtigkeit	Humidité	Umidità	Vochtigheid	Wilgotność	Umidade	Humedad	湿度
Ventilation	Вентиляция	Lüftung	Ventilation	Ventilazione	Ventilatie	Wentylacja	Ventilação	Ventilación	通风
Chandelier	Люстра	Luster	Lustre	Lampadario	Kroonluchter	Żyrandol	Lustre	Candelabro	枝形吊灯
Awnings	Тенты	Markisen	Auvents	Tende	Luifels	Okrycia	Toldos	Toldos	遮阳篷
Music	Музыка	Musik	Musique	Musica	Muziek	Muzyka	Música	Música	音乐
People	Люди	Personen	Gens	Persone	Mensen	Ludzie	Pessoas	Personas	人们
Pool	Бассейн	Pool	Piscine	Piscina	Zwembad	Basen	Piscina	Piscina	水池
Pump	Насос	Pumpen	Pompe	Pompa	Pomp	Pompa	Bombear	Bomba	泵
Outdoor Blinds	Открытый Жалюзи	Raffstoren	Volets	Tende Da Esterni	Outdoor Blinds	Rolety Zewnętrzne	Estores Exteriores	Persianas Exteriores	室外百叶窗
Mowing Machine	Стрижка Машина	Rasenmäher	Machine De Fauchage	Macchina Di Falciatura	Maaimachine	Kosiarka	Roçada Máquina	Segadora	割草机
Receiver	Приемник	Receiver	Destinataire	Ricevitore	Ontvanger	Odbiorca	Recebedor	Receptor	接收者
Computer	Компьютер	Rechner	L'Ordinateur	Computer	Computer	Komputer	Computador	Ordenador	电脑
Shutters	Ставни	Rollladen	Volets	Persiane	Shutters	Żaluzje	Persianas	Persianas	百叶窗
Lock	Замок	Schloß	Fermer À Clé	Serratura	Slot	Zamek	Trancar	Cerrar Con Llave	锁
Security	Безопасность	Sicherheit	Sécurité	Sicurezza	Veiligheid	Bezpieczeństwo	Segurança	Seguridad	安全
Dishwashers	Посудомоечные	Spülmaschinen	Lave-Vaisselles	Lavastoviglie	Vaatwassers	Zmywarki	Máquinas De Lavar Louça	Lavaplatos	洗碗机
Vacuum Cleaner	Пылесос	Staubsauger	Aspirateur	Aspirapolvere	Stofzuiger	Odkurzacz	Aspirador De Pó	Aspiradora	吸尘器
Sockets	Розетки	Steckdosen	Prises	Sockets	Sockets	Gniazdka	Tomadas	Zócalos	套接字
Floor Lamps	Торшеры	Stehlampen	Lampes Pour Plancher	Lampade A Stelo	Vloerlampen	Lampy Podłogowe	Lâmpadas Chão	Lámparas De Pie	落地灯
Power Consumption	Потребляемая Мощность	Stromverbrauch	Consommation D'Énergie	Consumo Di Energia	Energieverbruik	Pobór Energii	Consumo De Energia	El Consumo De Energía	能量消耗
Temperature Sensors	Температурные Датчики	Temperatur-Sensoren	Capteurs De Température	Sensori Di Temperatura	Temperatuursensoren	Czujniki Temperatury	Sensores De Temperatura	Sensores De Temperatura	温度传感器
Table Lamps	Настольные Лампы	Tischlampen	Lampe De Chevet	Lampade Da Tavolo	Tafellampen	Lampy Stołowe	Lâmpadas De Mesa	Lámparas De Mesa	台灯
Gates	Ворота	Tore	Portes	Gates	Gates	Bramy	Portões	Puertas	盖茨
Dryer	Сушилка	Trockner	Séchoir	Asciugatrice	Droger	Suszarka	Secador	Secadora	烘干机
Doors	Двери	Türen	Des Portes	Porte	Deuren	Drzwi	Portas	Puertas	门
Tv	Телевизор	TV	La Télé	Tv	Tv	Telewizja	Televisão	Televisor	电视
Consumption	Потребление	Verbrauch	Consommation	Consumo	Consumptie	Konsumpcja	Consumo	Consumo	消费
Amplifier	Усилитель Звука	Verstärker	Amplificateur	Amplificatore	Versterker	Wzmacniacz	Amplificador	Amplificador	放大器
Curtains	Шторы	Vorhänge	Des Rideaux	Le Tende	Gordijnen	Zasłony	Cortinas	Cortinas	窗帘
Sconces	Sconces	Wandlampen	Sconces	Sconces	Sconces	Kinkiety	Arandelas	Los Apliques	壁灯
Washing Machines	Стиральные Машины	Waschmaschinen	Machines À Laver	Lavatrici	Wasmachines	Pralki	Máquinas De Lavar Roupas	Lavadoras	洗衣机
Water	Воды	Wasser	L'Eau	Acqua	Water	Woda	Água	Agua	水
Water Heater	Нагреватель Воды	Wasserkocher	Chauffe-Eau	Scaldabagno	Waterkoker	Podgrzewacz Wody	Aquecedor De Água	Calentador De Agua	热水器
Water Consumption	Потребление Воды	Wasserverbrauch	Consommation D'Eau	Consumo D'Acqua	Waterverbruik	Konsumpcja Wody	Consumo De Água	Consumo De Agua	耗水量
Weather	Погода	Wetter	La Météo	Tempo Metereologico	Weer	Pogoda	Clima	Tiempo	天气
